       lambda          SN_2796        SN_2803
       8551.5800         8553.8600        4.59744      -0.199464
       8551.8600         8554.1400        5.00392     -0.0366564
       8552.1500         8554.4300        4.63183     -0.0671381
       8552.4300         8554.7100        3.88734     -0.0208601
       8552.7200         8555.0000        3.21724     -0.0262704
       8553.0000         8555.2900        2.74579      0.0850333
       8553.2900         8555.5700        2.46647     -0.0465476
       8553.5700         8555.8600        2.19388     -0.0340821
       8553.8600         8556.1400        1.67537      -0.320532
       8554.1400         8556.4300        1.18818      -0.449915
       8554.4300         8556.7100       0.645133      -0.704796
       8554.7100         8557.0000       0.497878      -0.879093
       8555.0000         8557.2800       0.810276       -1.02972
       8555.2900         8557.5700       0.708258       -1.20365
       8555.5700         8557.8500       0.641263       -1.16123
       8555.8600         8558.1400       0.390113      -0.972953
       8556.1400         8558.4200       0.157346       -1.00092
       8556.4300         8558.7100      -0.139529       -1.03325
       8556.7100         8559.0000      -0.521836      -0.989242
       8557.0000         8559.2800      -0.610822      -0.820349
       8557.2800         8559.5700      -0.723405      -0.747819
       8557.5700         8559.8500      -0.804016      -0.544038
       8557.8500         8560.1400      -0.896869      -0.558205
       8558.1400         8560.4200      -0.932758      -0.611314
       8558.4200         8560.7100      -0.720271      -0.639803
       8558.7100         8560.9900      -0.623758      -0.584035
       8559.0000         8561.2800      -0.670776      -0.428041
       8559.2800         8561.5700      -0.629246      -0.380619
       8559.5700         8561.8500      -0.629927      -0.338436
       8559.8500         8562.1400      -0.464943      -0.344634
       8560.1400         8562.4200      -0.594451      -0.281901
       8560.4200         8562.7100      -0.423771      -0.105310
       8560.7100         8562.9900      -0.191999      -0.102971
       8560.9900         8563.2800      -0.159083     -0.0977963
       8561.2800         8563.5600      -0.164985     -0.0576495
       8561.5700         8563.8500      -0.101682      0.0405745
       8561.8500         8564.1400     -0.0746054     0.00528182
       8562.1400         8564.4200     -0.0967043     -0.0596800
       8562.4200         8564.7100      -0.157268      0.0147842
       8562.7100         8564.9900      -0.132599     -0.0709977
       8562.9900         8565.2800      -0.273250     -0.0387359
       8563.2800         8565.5600      -0.396679      0.0696848
       8563.5600         8565.8500      -0.319575      0.0258518
       8563.8500         8566.1400     -0.0223998      0.0187760
       8564.1400         8566.4200       0.483440      -0.183673
       8564.4200         8566.7100       0.764157      -0.128714
       8564.7100         8566.9900        1.03163       0.114702
       8564.9900         8567.2800        1.23747       0.253914
       8565.2800         8567.5600        1.47504       0.456433
       8565.5600         8567.8500        1.60706       0.290839
       8565.8500         8568.1400        1.67597      0.0726166
       8566.1400         8568.4200        1.65636       0.230129
       8566.4200         8568.7100        1.38594       0.311617
       8566.7100         8568.9900       0.889079       0.603328
       8566.9900         8569.2800       0.846463        1.13614
       8567.2800         8569.5700       0.821813        1.66604
       8567.5600         8569.8500       0.768983        2.36492
       8567.8500         8570.1400        1.00518        3.17837
       8568.1400         8570.4200        1.31716        4.46049
       8568.4200         8570.7100        1.48645        5.10817
       8568.7100         8571.0000        1.52910        5.15028
       8568.9900         8571.2800        1.77688        5.16401
       8569.2800         8571.5700        1.97651        5.20289
       8569.5700         8571.8500        2.04468        4.56206
       8569.8500         8572.1400        1.90394        3.62992
       8570.1400         8572.4200        1.88622        2.55664
       8570.4200         8572.7100        1.58766        1.63543
       8570.7100         8573.0000        1.20243       0.459800
       8571.0000         8573.2800        1.00255      0.0450250
       8571.2800         8573.5700       0.799763     -0.0583721
       8571.5700         8573.8500       0.594888      0.0327696
       8571.8500         8574.1400       0.340978      -0.258278
       8572.1400         8574.4300       0.123855      -0.296557
       8572.4200         8574.7100     -0.0581411      -0.150630
       8572.7100         8575.0000      -0.157148       0.152471
       8573.0000         8575.2800      -0.357147       0.101128
       8573.2800         8575.5700      -0.223500     -0.0683081
       8573.5700         8575.8600      -0.199464     -0.0269570
       8573.8500         8576.1400     -0.0366564     -0.0657902
       8574.1400         8576.4300     -0.0671381      -0.251042
       8574.4300         8576.7100     -0.0208601      -0.136886
       8574.7100         8577.0000     -0.0262704      -0.224146
       8575.0000         8577.2900      0.0850333      -0.183633
       8575.2800         8577.5700     -0.0465476      -0.326405
       8575.5700         8577.8600     -0.0340821      -0.492907
       8575.8600         8578.1400      -0.320532      -0.386056
       8576.1400         8578.4300      -0.449915      -0.508631
       8576.4300         8578.7200      -0.704796      -0.524832
       8576.7100         8579.0000      -0.879093      -0.327437
       8577.0000         8579.2900       -1.02972      -0.325625
       8577.2900         8579.5800       -1.20365      -0.181061
       8577.5700         8579.8600       -1.16123      -0.117063
       8577.8600         8580.1500      -0.972953      0.0458776
       8578.1400         8580.4300       -1.00092       0.374563
       8578.4300         8580.7200       -1.03325       0.430122
       8578.7200         8581.0100      -0.989242       0.584684
       8579.0000         8581.2900      -0.820349       0.704651
       8579.2900         8581.5800      -0.747819       0.690449
       8579.5800         8581.8700      -0.544038       0.849180
       8579.8600         8582.1500      -0.558205       0.965778
       8580.1500         8582.4400      -0.611314       0.985744
       8580.4300         8582.7200      -0.639803       0.829386
       8580.7200         8583.0100      -0.584035       0.637288
       8581.0100         8583.3000      -0.428041       0.602074
       8581.2900         8583.5800      -0.380619       0.413165
       8581.5800         8583.8700      -0.338436       0.256970
       8581.8700         8584.1600      -0.344634      0.0911301
       8582.1500         8584.4400      -0.281901     -0.0556869
       8582.4400         8584.7300      -0.105310      -0.110597
       8582.7200         8585.0100      -0.102971      -0.174633
       8583.0100         8585.3000     -0.0977963      -0.100852
       8583.3000         8585.5900     -0.0576495     -0.0715985
       8583.5800         8585.8700      0.0405745     -0.0235302
       8583.8700         8586.1600     0.00528182      0.0933816
       8584.1600         8586.4500     -0.0596800       0.158234
       8584.4400         8586.7300      0.0147842       0.188336
       8584.7300         8587.0200     -0.0709977       0.204870
       8585.0100         8587.3100     -0.0387359      0.0818771
       8585.3000         8587.5900      0.0696848     -0.0169181
       8585.5900         8587.8800      0.0258518      0.0196874
       8585.8700         8588.1700      0.0187760      0.0260326
       8586.1600         8588.4500      -0.183673       0.195628
       8586.4500         8588.7400      -0.128714       0.252244
       8586.7300         8589.0200       0.114702       0.226995
       8587.0200         8589.3100       0.253914       0.183812
       8587.3100         8589.6000       0.456433       0.120741
       8587.5900         8589.8800       0.290839       0.156719
       8587.8800         8590.1700      0.0726166       0.106985
       8588.1700         8590.4600       0.230129     -0.0441123
       8588.4500         8590.7400       0.311617      -0.141317
       8588.7400         8591.0300       0.603328      -0.230903
       8589.0200         8591.3200        1.13614      -0.454118
       8589.3100         8591.6000        1.66604      -0.411576
       8589.6000         8591.8900        2.36492      -0.481008
       8589.8800         8592.1800        3.17837      -0.497150
       8590.1700         8592.4600        4.46049      -0.385130
       8590.4600         8592.7500        5.10817      -0.334967
       8590.7400         8593.0400        5.15028      -0.506572
       8591.0300         8593.3200        5.16401      -0.657851
       8591.3200         8593.6100        5.20289      -0.847073
       8591.6000         8593.9000        4.56206      -0.663493
       8591.8900         8594.1800        3.62992      -0.825258
       8592.1800         8594.4700        2.55664      -0.624178
       8592.4600         8594.7600        1.63543      -0.559366
       8592.7500         8595.0400       0.459800      -0.589364
       8593.0400         8595.3300      0.0450250      -0.622412
       8593.3200         8595.6200     -0.0583721      -0.518955
       8593.6100         8595.9000      0.0327696      -0.520161
       8593.9000         8596.1900      -0.258278      -0.364999
       8594.1800         8596.4800      -0.296557      -0.240703
       8594.4700         8596.7600      -0.150630      0.0794050
       8594.7600         8597.0500       0.152471       0.120741
       8595.0400         8597.3400       0.101128     -0.0169677
       8595.3300         8597.6200     -0.0683081      -0.106063
       8595.6200         8597.9100     -0.0269570    -0.00196864
       8595.9000         8598.2000     -0.0657902       0.107134
       8596.1900         8598.4800      -0.251042       0.334685
       8596.4800         8598.7700      -0.136886       0.157766
       8596.7600         8599.0600      -0.224146      0.0222837
       8597.0500         8599.3400      -0.183633      -0.108377
       8597.3400         8599.6300      -0.326405     -0.0322678
       8597.6200         8599.9200      -0.492907       0.181606
       8597.9100         8600.2100      -0.386056       0.526543
       8598.2000         8600.4900      -0.508631       0.870457
       8598.4800         8600.7800      -0.524832        1.20998
       8598.7700         8601.0700      -0.327437        1.55054
       8599.0600         8601.3500      -0.325625        1.68934
       8599.3400         8601.6400      -0.181061        1.73256
       8599.6300         8601.9300      -0.117063        1.80895
       8599.9200         8602.2100      0.0458776        1.92370
       8600.2100         8602.5000       0.374563        2.36799
       8600.4900         8602.7900       0.430122        3.18646
       8600.7800         8603.0700       0.584684        4.13758
       8601.0700         8603.3600       0.704651        5.00546
       8601.3500         8603.6500       0.690449        5.60444
       8601.6400         8603.9400       0.849180        6.31035
       8601.9300         8604.2200       0.965778        6.83189
       8602.2100         8604.5100       0.985744        6.56164
       8602.5000         8604.8000       0.829386        6.07911
       8602.7900         8605.0800       0.637288        5.53546
       8603.0700         8605.3700       0.602074        4.35242
       8603.3600         8605.6600       0.413165        2.92457
       8603.6500         8605.9400       0.256970        1.44990
       8603.9400         8606.2300      0.0911301       0.396110
       8604.2200         8606.5200     -0.0556869      -0.286574
       8604.5100         8606.8100      -0.110597      -0.872429
       8604.8000         8607.0900      -0.174633      -0.707845
       8605.0800         8607.3800      -0.100852      -0.553300
       8605.3700         8607.6700     -0.0715985      -0.590258
       8605.6600         8607.9500     -0.0235302      -0.409709
       8605.9400         8608.2400      0.0933816      -0.214982
       8606.2300         8608.5300       0.158234      -0.119459
       8606.5200         8608.8200       0.188336     -0.0572180
       8606.8100         8609.1000       0.204870      0.0779404
       8607.0900         8609.3900      0.0818771      -0.117470
       8607.3800         8609.6800     -0.0169181      -0.296258
       8607.6700         8609.9600      0.0196874      -0.596266
       8607.9500         8610.2500      0.0260326      -0.731075
       8608.2400         8610.5400       0.195628      -0.768004
       8608.5300         8610.8300       0.252244      -0.718599
       8608.8200         8611.1100       0.226995      -0.430014
       8609.1000         8611.4000       0.183812      -0.377231
       8609.3900         8611.6900       0.120741      -0.571675
       8609.6800         8611.9700       0.156719      -0.526748
       8609.9600         8612.2600       0.106985      -0.479698
       8610.2500         8612.5500     -0.0441123      -0.124360
       8610.5400         8612.8400      -0.141317      -0.130052
       8610.8300         8613.1200      -0.230903      -0.442805
       8611.1100         8613.4100      -0.454118      -0.622968
       8611.4000         8613.7000      -0.411576      -0.803607
       8611.6900         8613.9900      -0.481008      -0.703324
       8611.9700         8614.2700      -0.497150      -0.347469
       8612.2600         8614.5600      -0.385130      0.0918091
       8612.5500         8614.8500      -0.334967       0.283118
       8612.8400         8615.1400      -0.506572       0.207474
       8613.1200         8615.4200      -0.657851       0.184241
       8613.4100         8615.7100      -0.847073       0.522122
       8613.7000         8616.0000      -0.663493       0.804293
       8613.9900         8616.2900      -0.825258       0.908176
       8614.2700         8616.5700      -0.624178       0.798068
       8614.5600         8616.8600      -0.559366       0.916109
       8614.8500         8617.1500      -0.589364        1.14370
       8615.1400         8617.4300      -0.622412        1.75989
       8615.4200         8617.7200      -0.518955        2.27631
       8615.7100         8618.0100      -0.520161        2.90712
       8616.0000         8618.3000      -0.364999        3.36779
       8616.2900         8618.5800      -0.240703        3.57099
       8616.5700         8618.8700      0.0794050        3.61261
       8616.8600         8619.1600       0.120741        3.48705
       8617.1500         8619.4500     -0.0169677        3.09451
       8617.4300         8619.7300      -0.106063        2.61208
       8617.7200         8620.0200    -0.00196864        2.08965
       8618.0100         8620.3100       0.107134        1.63020
       8618.3000         8620.6000       0.334685        1.08792
       8618.5800         8620.8800       0.157766       0.675007
       8618.8700         8621.1700      0.0222837       0.359973
       8619.1600         8621.4600      -0.108377       0.406108
       8619.4500         8621.7500     -0.0322678       0.542698
