system,comp,sol,element,rest_l,z,z_err,c_d,cd_low,cd_high,b,mb_low,b_high,ew_flux,ew_vp,ew_er,s3,s5
23,a,S0927,MgII,2796.3543,5.19536,5.35E-05,12.5076,12.2698,12.6838,3.23241,1.65208,4.43148,0.0686889,0.0705046,0.00983566,0.0986,0.0986
23,a,S0927,MgII,2803.5315,5.19536,5.35E-05,12.5076,12.2698,12.6838,3.23241,1.65208,4.43148,0.045479,0.0453787,0.00855772,0.0986,0.0986
24,a,S0927,CIV,1548.2049,5.25675,4.42E-05,13.4286,13.3385,13.5314,14.6309,9.4883,19.5017,0.0815936,0.0802393,0.00743205,0.746015,0.746015
24,a,S0927,CIV,1550.7785,5.25675,4.42E-05,13.4286,13.3385,13.5314,14.6309,9.4883,19.5017,0.0461421,0.0455119,0.0176335,-99,-99
25,a,S0927,MgII,2796.3543,5.38094,6.61E-05,12.5815,12.4254,12.6981,5.1882,2.57784,7.13328,0.0902371,0.0893308,0.0131798,0.326,0.293
25,a,S0927,MgII,2803.5315,5.38094,6.61E-05,12.5815,12.4254,12.6981,5.1882,2.57784,7.13328,0.0444737,0.0574206,0.011448,0.326,0.293
26,a,S0927,MgII,2796.3543,5.42625,9.58E-05,12.8392,12.6921,12.9431,5.55149,3.69148,7.04473,0.130892,0.121904,0.0226712,0.372,0.341
26,a,S0927,MgII,2803.5315,5.42625,9.58E-05,12.8392,12.6921,12.9431,5.55149,3.69148,7.04473,0.119071,0.0964679,0.0260498,0.372,0.341
27,a,S0927,MgII,2796.3543,5.44117,0.000159,12.7624,12.6184,12.8707,18.7947,10.1897,25.276,0.276004,0.180573,0.0639823,0.08,0
27,a,S0927,MgII,2803.5315,5.44117,0.000159,12.7624,12.6184,12.8707,18.7947,10.1897,25.276,0.0588326,0.102823,0.0343256,0.08,0
27,b,S0927,MgII,2796.3543,5.44319,0.00117,12.1712,11.9722,12.311,18.0341,10.2665,23.266,0.115052,0.0563806,0.02456,0.08,0
27,b,S0927,MgII,2803.5315,5.44319,0.00117,12.1712,11.9722,12.311,18.0341,10.2665,23.266,0.230226,0.0290544,0.164849,0.08,0
28,a,S0927,MgII,2796.3543,5.46939,9.85E-05,12.7811,12.6078,12.9156,4.83129,3.07295,6.13042,0.100841,0.106081,0.0234015,0.427,0.118
28,a,S0927,MgII,2803.5315,5.46939,9.85E-05,12.7811,12.6078,12.9156,4.83129,3.07295,6.13042,0.0831365,0.0700485,0.0234342,0.427,0.118
29,a,S0927,MgII,2796.3543,5.49081,0.00013,12.5337,12.4034,12.6316,6.82204,1.00076,11.7976,0.109763,0.093182,0.0352523,0.233,0
29,a,S0927,MgII,2803.5315,5.49081,0.00013,12.5337,12.4034,12.6316,6.82204,1.00076,11.7976,0.0441672,0.0550754,0.0236086,0.233,0
30,a,S0927,CIV,1548.2049,5.66382,0.000209,13.0498,12.8467,13.2021,27.3594,21.0686,16.3486,0.0346847,0.0334122,0.00793531,0.533316,0.354841
30,a,S0927,CIV,1550.7785,5.66382,0.000209,13.0498,12.8467,13.2021,27.3594,21.0686,16.3486,0.000718173,0.0180068,0.00757555,-99,-99
30,b,S0927,CIV,1548.2049,5.67089,0.000215,13.3668,13.1973,13.4937,41.6687,40.5301,43.1555,0.0690663,0.0683397,0.0101134,0.630596,0.630596
30,b,S0927,CIV,1550.7785,5.67089,0.000215,13.3668,13.1973,13.4937,41.6687,40.5301,43.1555,0.0722302,0.0475778,0.0174081,-99,-99
1,a,S1306,MgII,2796.3543,2.23758,6.70E-05,12.214,11.9834,12.3608,23.4307,19.8911,25.6829,0.0662373,0.0595716,0.00629481,0.432,0.414
1,a,S1306,MgII,2803.5315,2.23758,6.70E-05,12.214,11.9834,12.3608,23.4307,19.8911,25.6829,0.465988,0.0315082,0.0054356,0.432,0.414
1,b,S1306,MgII,2796.3543,2.23848,4.80E-05,12.5459,12.3875,12.6467,33.8528,29.9494,36.3435,0.125938,0.123537,0.00698654,0.432,0.414
1,b,S1306,MgII,2803.5315,2.23848,4.80E-05,12.5459,12.3875,12.6467,33.8528,29.9494,36.3435,0.596655,0.0646145,0.00568841,0.432,0.414
2,a,S1306,MgII,2796.3543,2.37776,1.57E-05,13.1006,13.0253,13.1487,19.0606,16.6447,20.5889,0.301962,0.306112,0.0108201,0.967,0.967
2,a,S1306,MgII,2803.5315,2.37776,1.57E-05,13.1006,13.0253,13.1487,19.0606,16.6447,20.5889,0.197694,0.195611,0.00975975,0.967,0.967
2,b,S1306,MgII,2796.3543,2.3784,1.50E-05,13.1351,12.9888,13.2281,4.97075,4.25696,5.42249,0.15714,0.140112,0.0083434,0.967,0.967
2,b,S1306,MgII,2803.5315,2.3784,1.50E-05,13.1351,12.9888,13.2281,4.97075,4.25696,5.42249,0.121704,0.111832,0.00873187,0.967,0.967
2,c,S1306,FeII,2600.1725,2.3778,1.44E-05,12.9131,12.7814,12.9969,7.52473,1.7313,11.2167,0.0813135,0.0802162,0.00366735,-99,-99
2,c,S1306,FeII,2586.6496,2.3778,1.44E-05,12.9131,12.7814,12.9969,7.52473,1.7313,11.2167,0.0353988,0.0291214,0.00299965,-99,-99
2,c,S1306,FeII,2382.7642,2.3778,1.44E-05,12.9131,12.7814,12.9969,7.52473,1.7313,11.2167,0.367775,0.0848643,0.0538054,-99,-99
2,c,S1306,FeII,2344.213,2.3778,1.44E-05,12.9131,12.7814,12.9969,7.52473,1.7313,11.2167,0.371181,0.0381715,0.0407241,-99,-99
2,c,S1306,FeII,1608.4508,2.3778,1.44E-05,12.9131,12.7814,12.9969,7.52473,1.7313,11.2167,-0.579477,0.00969056,0.439588,-99,-99
